,City,Country,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Datetime Recorded UTC
0,Laibin,CN,23.74,109.23,79.25,58,0.0,4.97,2019-10-21 03:39:32
1,Constitucion,MX,23.99,-104.67,66.2,88,0.9,8.05,2019-10-21 03:39:32
2,Pochutla,MX,15.74,-96.47,80.6,83,0.4,8.05,2019-10-21 03:39:33
3,Tolaga Bay,NZ,-38.37,178.3,64.5,46,0.0,12.48,2019-10-21 03:39:33
4,Port Elizabeth,US,39.31,-74.98,57.0,93,0.9,16.11,2019-10-21 03:39:33
5,Makakilo City,US,21.35,-158.09,84.2,74,0.75,8.05,2019-10-21 03:39:34
6,Mataura,NZ,-46.19,168.86,48.0,80,0.82,8.01,2019-10-21 03:39:34
7,Bredasdorp,ZA,-34.53,20.04,59.0,66,1.0,9.17,2019-10-21 03:39:34
8,Lebu,ET,8.96,38.73,48.41,81,0.0,3.15,2019-10-21 03:41:24
9,Saskylakh,RU,71.97,114.09,8.31,86,1.0,11.14,2019-10-21 03:41:25
10,Jamestown,AU,-33.21,138.6,83.15,16,0.35,1.77,2019-10-21 03:41:25
11,Hasaki,JP,35.73,140.83,68.0,72,0.75,13.87,2019-10-21 03:41:25
12,Albany,US,42.65,-73.75,48.0,87,0.75,0.98,2019-10-21 03:41:26
13,Ushuaia,AR,-54.81,-68.31,42.8,70,0.0,5.82,2019-10-21 03:41:26
14,Hobart,AU,-42.88,147.33,73.0,32,0.0,10.29,2019-10-21 03:41:26
15,East London,ZA,-33.02,27.91,62.6,77,0.0,5.82,2019-10-21 03:41:27
16,Nome,US,30.04,-94.42,82.99,88,0.01,9.17,2019-10-21 03:41:27
17,Krylovskaya,RU,46.32,39.96,54.0,61,0.0,9.04,2019-10-21 03:41:27
18,Paamiut,GL,61.99,-49.67,39.9,62,0.0,12.33,2019-10-21 03:41:28
19,Rio Grande,BR,-32.03,-52.1,57.05,80,1.0,5.17,2019-10-21 03:41:28
20,Kodiak,US,39.95,-94.76,59.0,87,0.01,16.11,2019-10-21 03:41:28
21,Busselton,AU,-33.64,115.35,77.0,40,0.0,7.07,2019-10-21 03:41:29
22,New Norfolk,AU,-42.78,147.06,73.0,32,0.0,10.29,2019-10-21 03:41:29
23,Marystown,CA,47.17,-55.16,46.0,2,0.26,1.99,2019-10-21 03:41:29
24,Chikitigarh,IN,19.2,84.62,79.21,80,0.99,1.23,2019-10-21 03:41:29
25,Sao Paulo de Olivenca,BR,-3.38,-68.87,72.62,99,1.0,3.02,2019-10-21 03:41:30
26,Poyarkovo,RU,49.62,128.65,45.53,34,0.0,21.21,2019-10-21 03:41:30
27,Northam,AU,-31.65,116.67,71.6,53,0.2,5.82,2019-10-21 03:41:30
28,Labuhan,ID,-2.54,115.51,94.29,45,0.97,2.33,2019-10-21 03:41:31
29,Cape Town,ZA,-33.93,18.42,57.0,71,0.4,1.12,2019-10-21 03:41:31
30,Cabo San Lucas,MX,22.89,-109.91,79.0,83,0.05,9.17,2019-10-21 03:41:31
31,Provideniya,RU,64.42,-173.23,33.8,69,0.9,15.66,2019-10-21 03:41:32
32,Mgandu,TZ,-5.96,34.11,61.44,89,0.31,8.63,2019-10-21 03:41:32
33,Vardo,US,39.62,-77.74,54.0,81,0.9,5.82,2019-10-21 03:41:32
34,Punta Arenas,CL,-53.16,-70.91,41.0,75,0.0,17.22,2019-10-21 03:41:32
35,Victoria,BN,5.28,115.24,91.4,55,0.75,6.93,2019-10-21 03:41:33
36,Belyy Yar,RU,53.6,91.39,26.6,63,0.4,6.71,2019-10-21 03:41:33
37,Xining,CN,36.62,101.77,41.14,60,0.67,4.38,2019-10-21 03:41:33
38,Yumen,CN,40.29,97.04,53.69,15,0.0,6.76,2019-10-21 03:41:34
39,Butaritari,KI,3.07,172.79,85.35,67,0.46,10.4,2019-10-21 03:41:34
40,Kaitangata,NZ,-46.28,169.85,54.0,44,1.0,8.01,2019-10-21 03:41:34
41,Sambava,MG,-14.27,50.17,67.19,85,0.0,3.0,2019-10-21 03:41:35
42,Lasa,CY,34.92,32.53,66.2,63,0.2,9.17,2019-10-21 03:41:35
43,Bad Ragaz,CH,47.0,9.5,61.0,82,0.9,4.7,2019-10-21 03:41:35
44,Sinnai,IT,39.3,9.2,73.4,88,0.4,13.87,2019-10-21 03:41:35
45,Pacifica,US,37.61,-122.49,63.0,77,0.01,18.34,2019-10-21 03:41:36
46,Bambous Virieux,MU,-20.34,57.76,73.99,88,0.9,11.41,2019-10-21 03:41:36
47,Rawson,AR,-43.3,-65.11,66.27,18,0.67,17.29,2019-10-21 03:41:37
48,Vaini,IN,15.34,74.49,73.4,94,0.75,2.24,2019-10-21 03:41:37
49,Takoradi,GH,4.89,-1.75,73.49,96,0.99,1.68,2019-10-21 03:41:37
50,Georgetown,GY,6.8,-58.16,75.2,100,0.4,4.7,2019-10-21 03:41:38
51,Zabaykalsk,CN,49.64,117.33,36.75,32,0.0,24.32,2019-10-21 03:41:38
52,Lamu,CN,35.77,102.37,47.3,56,0.63,1.59,2019-10-21 03:41:38
53,Rikitea,PF,-23.12,-134.97,70.39,73,0.94,15.19,2019-10-21 03:41:38
54,Tuktoyaktuk,CA,69.44,-133.03,19.4,85,0.4,8.05,2019-10-21 03:41:39
55,Cervo,BR,-22.19,-46.24,63.01,86,0.04,3.09,2019-10-21 03:41:39
56,Port Macquarie,AU,-31.43,152.91,73.99,46,0.42,12.75,2019-10-21 03:41:39
57,Nuuk,GL,64.17,-51.74,32.0,51,0.0,13.87,2019-10-21 03:41:40
58,Soyalo,MX,16.9,-92.92,78.8,78,0.75,4.7,2019-10-21 03:41:40
59,Usinsk,RU,66.0,57.56,19.16,85,0.0,11.23,2019-10-21 03:41:40
60,Hami,CN,42.84,93.51,55.36,17,0.0,3.09,2019-10-21 03:41:40
61,Nemuro,JP,43.32,145.57,60.8,59,0.2,3.36,2019-10-21 03:41:41
62,Ulaanbaatar,MN,47.92,106.92,35.6,43,0.4,4.47,2019-10-21 03:41:41
63,Ocos,GT,14.51,-92.19,77.0,94,0.75,2.24,2019-10-21 03:41:41
64,Fairbanks,US,64.84,-147.72,36.0,69,0.75,2.95,2019-10-21 03:41:42
65,Saint Anthony,US,43.97,-111.68,37.4,59,0.01,12.75,2019-10-21 03:41:42
66,Vila Velha,BR,-3.71,-38.6,79.0,78,0.4,8.05,2019-10-21 03:41:42
67,Sovetskoye,RU,51.44,46.74,44.01,98,0.72,1.99,2019-10-21 03:41:42
68,Tommot,RU,58.97,126.27,31.26,86,0.92,6.62,2019-10-21 03:41:43
69,Madarounfa,NE,13.3,7.16,80.65,54,0.53,4.81,2019-10-21 03:41:43
70,Hilo,US,19.71,-155.08,82.4,65,0.75,6.93,2019-10-21 03:41:43
71,Abilene,US,32.45,-99.73,80.6,29,0.75,8.05,2019-10-21 03:41:44
72,Banda Aceh,ID,5.56,95.32,81.91,77,1.0,8.7,2019-10-21 03:41:44
73,Atuona,PF,-9.8,-139.03,79.44,74,0.02,12.46,2019-10-21 03:41:44
74,Upernavik,GL,72.79,-56.15,17.85,77,0.74,7.23,2019-10-21 03:41:45
75,Langsa,ID,4.47,97.97,81.42,65,0.77,2.59,2019-10-21 03:41:45
76,Thompson,CA,55.74,-97.86,35.6,93,0.9,6.93,2019-10-21 03:41:45
77,Niquelandia,BR,-14.47,-48.46,72.01,85,0.95,5.59,2019-10-21 03:41:46
78,Dolores,UY,-33.53,-58.22,55.99,90,1.0,11.01,2019-10-21 03:41:46
79,Puerto Ayora,EC,-0.74,-90.35,68.0,90,0.06,5.01,2019-10-21 03:41:46
80,Los Llanos de Aridane,ES,28.66,-17.92,66.2,72,0.75,12.75,2019-10-21 03:41:46
81,Tiksi,RU,71.64,128.87,2.4,90,0.61,6.46,2019-10-21 03:41:47
82,Berlevag,NO,70.86,29.09,32.0,70,0.0,24.16,2019-10-21 03:41:47
83,Port Alfred,ZA,-33.59,26.89,61.0,90,0.72,8.01,2019-10-21 03:41:47
84,Hermanus,ZA,-34.42,19.24,59.0,70,1.0,4.0,2019-10-21 03:41:48
85,Nieuw Amsterdam,SR,5.88,-55.08,78.01,92,1.0,15.28,2019-10-21 03:41:48
86,Codrington,AU,-28.95,153.24,77.0,33,0.0,13.87,2019-10-21 03:41:48
87,Baruun-Urt,MN,46.68,113.28,39.03,33,0.96,3.4,2019-10-21 03:41:48
88,Nathdwara,IN,24.93,73.82,68.0,88,0.75,2.93,2019-10-21 03:41:49
89,Russell,US,38.9,-98.86,55.99,34,0.01,12.75,2019-10-21 03:41:49
90,Tautira,PF,-17.73,-149.15,82.4,61,0.75,3.36,2019-10-21 03:41:49
91,Ponta Delgada,PT,37.73,-25.67,60.8,72,0.2,5.82,2019-10-21 03:41:50
92,Osakarovka,KZ,50.56,72.58,20.76,75,0.0,6.26,2019-10-21 03:41:50
93,Tiznit,MA,29.7,-9.73,65.26,82,0.0,16.24,2019-10-21 03:41:50
94,Dalvik,SE,57.79,14.13,46.4,100,0.74,2.24,2019-10-21 03:41:51
95,Bembereke,BJ,10.23,2.66,70.66,95,0.49,3.4,2019-10-21 03:41:51
96,Qaanaaq,GL,77.48,-69.36,1.22,47,0.0,11.21,2019-10-21 03:41:51
97,Kyzyl-Suu,KG,42.34,78.0,51.6,52,1.0,7.65,2019-10-21 03:41:51
98,Ostrovnoy,RU,68.05,39.51,19.65,88,0.92,9.62,2019-10-21 03:41:52
99,Iqaluit,CA,63.75,-68.52,30.2,86,0.9,19.46,2019-10-21 03:41:52
100,Bilibino,RU,68.06,166.44,0.75,87,0.0,1.95,2019-10-21 03:41:53
101,Viedma,AR,-40.81,-62.99,66.5,50,1.0,24.81,2019-10-21 03:41:53
102,Ilmenau,DE,50.69,10.91,53.01,87,0.0,8.05,2019-10-21 03:41:53
103,Samaca,CO,5.49,-73.49,47.66,95,0.71,2.08,2019-10-21 03:41:53
104,Khetia,IN,21.67,74.59,73.56,79,1.0,5.14,2019-10-21 03:41:54
105,Hithadhoo,MV,-0.6,73.08,80.79,75,0.43,11.34,2019-10-21 03:41:54
106,Parauna,ID,-3.82,122.09,91.86,33,0.0,4.83,2019-10-21 03:41:54
107,Kwinana,AU,-32.25,115.77,75.0,56,0.0,10.29,2019-10-21 03:41:55
108,Pangnirtung,CA,66.15,-65.72,17.18,50,0.56,2.42,2019-10-21 03:41:55
109,Lavrentiya,RU,65.58,-170.99,24.87,95,1.0,5.06,2019-10-21 03:41:55
110,Khatanga,RU,71.98,102.47,19.63,94,1.0,15.21,2019-10-21 03:41:55
111,Chuy,UY,-33.69,-53.46,57.36,79,1.0,9.53,2019-10-21 03:41:56
112,Fairview,CA,56.07,-118.38,34.0,84,0.75,3.36,2019-10-21 03:41:56
113,Urgut,UZ,39.41,67.25,53.6,50,0.0,2.24,2019-10-21 03:41:56
114,Jalu,LY,29.03,21.55,68.64,78,0.03,10.56,2019-10-21 03:41:57
115,New Sibonga,PH,7.56,125.93,89.6,62,0.4,6.93,2019-10-21 03:41:57
116,Asenovgrad,BG,42.01,24.88,51.8,93,0.0,4.5,2019-10-21 03:41:57
117,Isangel,VU,-19.55,169.27,84.2,70,0.75,9.17,2019-10-21 03:41:57
118,Umm Kaddadah,SD,13.6,26.69,84.48,50,0.95,6.24,2019-10-21 03:41:58
119,Bluff,AU,-23.58,149.07,85.13,28,0.0,12.08,2019-10-21 03:41:58
120,Shihezi,CN,44.3,86.03,54.19,23,0.88,5.19,2019-10-21 03:41:58
121,Cabinda,AO,-5.56,12.19,78.8,81,1.0,4.0,2019-10-21 03:41:59
122,Sorland,NO,67.67,12.69,35.6,100,0.75,2.24,2019-10-21 03:41:59
123,Manakara,MG,-22.14,48.01,67.91,90,0.6,5.61,2019-10-21 03:41:59
124,Durban,CA,51.93,-101.44,38.42,67,0.98,5.06,2019-10-21 03:41:59
125,Husavik,CA,50.56,-96.99,48.0,85,1.0,7.2,2019-10-21 03:42:00
126,Mtwara,TZ,-10.28,40.18,70.26,97,0.29,2.39,2019-10-21 03:42:00
127,San Ramon,NI,12.92,-85.84,66.21,97,1.0,3.18,2019-10-21 03:42:00
128,Jinchang,CN,38.52,102.19,52.01,17,0.37,2.62,2019-10-21 03:42:01
129,Port Augusta,AU,-32.49,137.76,78.01,43,1.0,10.29,2019-10-21 03:42:01
130,Kapaa,US,22.08,-159.32,84.2,78,0.75,5.82,2019-10-21 03:42:01
131,Kropotkin,RU,45.43,40.58,54.0,61,0.0,11.81,2019-10-21 03:42:01
132,Port Blair,IN,11.67,92.75,84.83,75,1.0,13.35,2019-10-21 03:42:02
133,Longyearbyen,NO,78.22,15.63,12.2,66,0.75,6.93,2019-10-21 03:42:02
134,Touros,BR,-5.2,-35.46,77.0,78,0.75,6.93,2019-10-21 03:42:03
135,Bensonville,LR,6.45,-10.61,77.0,94,0.4,3.4,2019-10-21 03:42:03
136,Norman Wells,CA,65.28,-126.83,26.6,100,0.9,2.24,2019-10-21 03:42:04
137,Esperance,AU,-33.86,121.89,68.0,72,0.9,14.99,2019-10-21 03:42:04
138,Rundu,NA,-17.91,19.77,70.79,17,0.06,4.34,2019-10-21 03:42:04
139,Sistranda,NO,63.73,8.83,43.0,93,0.75,5.82,2019-10-21 03:42:04
140,Winnetka,US,42.11,-87.74,51.8,93,0.9,4.7,2019-10-21 03:42:05
141,Avarua,CK,-21.21,-159.78,77.0,83,0.0,9.17,2019-10-21 03:42:05
142,Cherskiy,RU,68.75,161.3,4.76,90,0.0,1.63,2019-10-21 03:42:06
143,Jiangyou,CN,31.78,104.73,60.99,69,0.98,3.51,2019-10-21 03:42:06
144,Vestmannaeyjar,IS,63.44,-20.27,46.94,89,1.0,18.5,2019-10-21 03:42:06
145,Barrow,AR,-38.31,-60.23,55.7,60,1.0,9.66,2019-10-21 03:42:07
146,Bathsheba,BB,13.22,-59.52,77.0,88,0.2,3.36,2019-10-21 03:42:07
147,Buala,SB,-8.15,159.59,84.56,69,1.0,9.22,2019-10-21 03:42:07
148,Antalaha,MG,-14.9,50.28,63.12,90,0.04,3.4,2019-10-21 03:42:08
149,Luderitz,NA,-26.65,15.16,58.2,77,0.0,25.23,2019-10-21 03:42:08
150,Nyurba,RU,63.29,118.35,23.21,85,1.0,7.09,2019-10-21 03:42:08
151,Fagernes,NO,60.99,9.24,27.0,97,0.0,2.35,2019-10-21 03:42:09
152,Kibakwe,TZ,-6.71,36.37,66.84,83,0.41,7.4,2019-10-21 03:42:09
153,Naze,NG,5.43,7.07,73.13,96,1.0,2.62,2019-10-21 03:42:09
154,Clarence Town,AU,-32.59,151.78,81.0,53,0.0,14.99,2019-10-21 03:42:10
155,Port Moresby,PG,-9.47,147.16,84.2,74,0.4,11.41,2019-10-21 03:42:10
156,Whitehorse,CA,60.72,-135.06,28.4,86,0.2,4.7,2019-10-21 03:42:10
157,Clyde River,CA,70.47,-68.59,28.4,92,0.9,10.29,2019-10-21 03:42:11
158,Pastavy,BY,55.11,26.84,51.78,94,0.98,6.04,2019-10-21 03:42:11
159,Onega,RU,63.91,38.09,33.11,87,1.0,7.05,2019-10-21 03:42:11
160,Florence,US,34.8,-87.68,66.2,82,0.9,4.7,2019-10-21 03:42:11
161,Portland,US,43.66,-70.25,50.0,87,0.2,1.3,2019-10-21 03:35:11
162,Cidreira,BR,-30.17,-50.22,60.56,72,1.0,5.32,2019-10-21 03:42:12
163,Roald,NO,62.58,6.12,41.0,93,0.89,3.36,2019-10-21 03:42:12
164,George,MW,-15.35,34.83,72.32,60,0.0,4.0,2019-10-21 03:42:12
165,Magadan,RU,59.56,150.8,34.53,54,0.87,4.07,2019-10-21 03:42:13
166,Lata,IN,30.78,78.62,32.72,40,0.02,2.59,2019-10-21 03:42:13
167,Pavlovsk,RU,53.31,82.99,17.6,72,0.0,4.47,2019-10-21 03:42:13
168,Takestan,IR,36.07,49.69,44.6,93,0.0,2.24,2019-10-21 03:42:14
169,Waingapu,ID,-9.65,120.26,89.34,44,0.17,15.26,2019-10-21 03:42:14
170,Vagur,FO,61.47,-6.81,47.62,76,1.0,26.49,2019-10-21 03:42:14
171,Katsuura,JP,33.93,134.5,68.0,72,0.75,9.17,2019-10-21 03:42:15
172,Yar-Sale,RU,66.83,70.83,21.45,94,0.19,9.44,2019-10-21 03:42:15
173,Ilulissat,GL,69.22,-51.1,17.6,67,0.89,2.24,2019-10-21 03:42:15
174,Bowen,AU,-20.01,148.25,84.99,51,0.4,19.46,2019-10-21 03:42:15
175,Abaza,RU,52.65,90.1,17.99,88,0.97,1.77,2019-10-21 03:42:16
176,Pevek,RU,69.7,170.27,27.78,72,0.98,12.77,2019-10-21 03:42:16
177,Kavieng,PG,-2.57,150.8,80.11,77,1.0,3.6,2019-10-21 03:42:16
178,Nikolskoye,RU,59.7,30.79,51.8,81,0.75,13.42,2019-10-21 03:42:17
179,Puro,PH,13.13,123.76,84.88,71,0.17,2.33,2019-10-21 03:42:17
180,Westport,US,41.14,-73.36,54.0,93,0.9,5.82,2019-10-21 03:42:17
181,Kijang,KR,35.24,129.21,73.4,46,0.4,14.99,2019-10-21 03:42:17
182,Swan Hill,AU,-35.34,143.56,77.07,24,0.0,8.12,2019-10-21 03:42:18
183,Dikson,RU,73.51,80.55,26.24,83,0.69,15.28,2019-10-21 03:42:18
184,Owando,CG,-0.49,15.91,69.83,97,0.62,3.83,2019-10-21 03:42:18
185,Saint-Philippe,CA,45.36,-73.48,45.0,93,0.01,4.7,2019-10-21 03:42:19
186,Nichinan,JP,31.65,131.31,68.0,88,0.75,3.36,2019-10-21 03:42:19
187,Vila Franca do Campo,PT,37.72,-25.43,60.8,72,0.2,5.82,2019-10-21 03:42:19
188,Paramonga,PE,-10.68,-77.82,60.24,91,0.97,14.0,2019-10-21 03:42:20
189,San Cristobal,HN,14.68,-86.92,67.47,86,0.35,4.36,2019-10-21 03:42:20
190,Camiri,BO,-20.04,-63.52,64.83,72,1.0,10.09,2019-10-21 03:42:20
191,Hualmay,PE,-11.1,-77.61,61.64,90,0.07,18.19,2019-10-21 03:42:21
192,Komsomolskiy,RU,67.55,63.78,12.86,87,0.0,4.43,2019-10-21 03:42:21
193,Mount Gambier,AU,-37.83,140.78,60.8,63,0.4,5.82,2019-10-21 03:42:22
194,Tongren,CN,27.72,109.18,67.11,68,1.0,1.43,2019-10-21 03:42:22
195,Kondagaon,IN,19.59,81.66,73.83,88,0.75,3.51,2019-10-21 03:42:22
196,Teya,MX,21.05,-89.07,84.2,79,0.4,12.75,2019-10-21 03:42:23
197,Verkhnyaya Inta,RU,65.99,60.32,17.96,88,0.03,8.52,2019-10-21 03:42:23
198,Port Hedland,AU,-20.31,118.58,100.4,22,0.16,11.41,2019-10-21 03:42:23
199,Camacha,PT,33.08,-16.33,64.4,68,0.4,13.87,2019-10-21 03:42:23
200,Manokwari,ID,-0.87,134.08,79.53,79,0.59,4.09,2019-10-21 03:42:24
201,Cheremukhovo,RU,56.23,46.23,49.96,97,1.0,6.82,2019-10-21 03:42:24
202,Kokopo,PG,-4.34,152.27,83.6,76,0.69,1.61,2019-10-21 03:42:24
203,Pangai,TO,-19.8,-174.35,82.4,74,0.2,8.05,2019-10-21 03:42:25
204,Wanning,AT,48.64,13.53,54.0,100,0.75,2.24,2019-10-21 03:42:25
205,Broome,GB,52.47,1.45,55.0,87,1.0,9.17,2019-10-21 03:42:25
206,Nan,TH,18.78,100.78,82.4,74,0.2,1.12,2019-10-21 03:42:26
207,Ponta do Sol,BR,-20.63,-46.0,68.63,81,0.17,1.3,2019-10-21 03:42:26
208,Saldanha,PT,41.42,-6.55,44.81,91,0.0,1.66,2019-10-21 03:42:26
209,Sao Filipe,CV,14.9,-24.5,77.68,85,0.87,20.2,2019-10-21 03:42:27
210,Saint George,GR,39.45,22.34,57.2,93,0.2,4.7,2019-10-21 03:42:27
211,Arraial do Cabo,BR,-22.97,-42.02,69.56,70,0.77,10.96,2019-10-21 03:42:27
212,Dalaba,GN,10.69,-12.25,68.91,91,1.0,1.86,2019-10-21 03:42:28
213,Hobyo,SO,5.35,48.53,79.35,79,0.95,2.04,2019-10-21 03:42:28
214,Sitka,US,37.17,-99.65,55.0,37,0.5,28.01,2019-10-21 03:42:28
215,Guerrero Negro,MX,27.97,-114.04,67.49,81,0.0,14.85,2019-10-21 03:42:28
216,Shebunino,RU,57.66,40.04,46.4,100,0.9,4.47,2019-10-21 03:42:29
217,Yellowknife,CA,62.45,-114.38,25.0,92,0.05,3.36,2019-10-21 03:42:29
218,Petrestii de Jos,RO,46.58,23.65,44.6,93,0.2,2.46,2019-10-21 03:42:29
219,Hamilton,CA,43.26,-79.87,51.8,100,0.05,4.7,2019-10-21 03:42:30
220,Nishihara,JP,35.74,139.53,72.0,68,0.75,6.93,2019-10-21 03:42:30
221,Staryy Krym,UA,45.03,35.1,52.89,91,0.0,4.14,2019-10-21 03:42:30
222,Carnarvon,ZA,-30.97,22.13,53.04,47,0.0,15.84,2019-10-21 03:42:31
223,Yulara,AU,-25.24,130.99,87.8,8,1.0,14.99,2019-10-21 03:42:31
224,Oltedal,NO,58.83,6.05,43.0,100,0.75,3.36,2019-10-21 03:42:31
225,High Prairie,CA,55.43,-116.48,32.34,91,0.75,5.75,2019-10-21 03:42:32
226,Leningradskiy,RU,69.38,178.42,24.72,94,1.0,24.02,2019-10-21 03:42:32
227,Ribeira Grande,PT,38.52,-28.7,65.33,61,0.52,8.81,2019-10-21 03:42:32
228,Kamenka,MD,48.03,28.7,46.99,94,0.0,4.88,2019-10-21 03:42:33
229,Narsaq,GL,60.91,-46.05,33.8,86,0.0,12.75,2019-10-21 03:42:33
230,Zhigansk,RU,66.77,123.37,7.08,92,0.39,4.23,2019-10-21 03:42:33
231,Souillac,FR,45.6,-0.6,46.99,100,0.75,7.14,2019-10-21 03:42:33
232,Fortuna,US,40.6,-124.16,55.99,81,0.4,5.03,2019-10-21 03:42:34
233,Ovsyanka,RU,53.58,126.91,35.47,88,1.0,11.9,2019-10-21 03:42:34
234,Halayhay,PH,14.37,120.81,93.0,70,0.4,6.93,2019-10-21 03:42:34
235,Bitung,ID,1.44,125.19,91.4,55,0.4,8.05,2019-10-21 03:42:35
236,Veraval,FR,49.65,0.71,50.0,100,0.9,9.17,2019-10-21 03:42:35
237,Lompoc,US,34.64,-120.46,71.6,71,0.01,6.93,2019-10-21 03:42:35
238,Poum,MK,41.28,20.71,44.6,87,0.2,3.36,2019-10-21 03:42:35
239,Bethel,US,60.79,-161.76,35.6,93,0.9,4.7,2019-10-21 03:42:36
240,Camden,US,39.94,-75.12,53.6,100,0.9,4.7,2019-10-21 03:42:36
241,Tucuman,PE,-17.17,-70.89,49.67,70,0.0,2.46,2019-10-21 03:42:36
242,Port Lincoln,AU,-34.72,135.86,63.32,71,1.0,7.18,2019-10-21 03:42:37
243,Cockburn Town,TC,21.46,-71.14,83.78,79,1.0,16.71,2019-10-21 03:42:37
244,Irtyshskiy,RU,58.33,68.13,26.96,67,1.0,12.1,2019-10-21 03:42:37
245,Namibe,AO,-15.19,12.15,69.35,85,0.2,4.79,2019-10-21 03:42:38
246,Kahului,US,20.89,-156.47,84.2,88,0.4,14.99,2019-10-21 03:42:38
247,Ukiah,US,39.15,-123.21,64.99,48,0.01,4.7,2019-10-21 03:42:38
248,Steamboat Springs,US,40.48,-106.83,33.8,80,0.9,9.17,2019-10-21 03:42:38
249,Alta Floresta,BR,-9.87,-56.08,71.72,96,0.96,1.63,2019-10-21 03:42:39
250,Solnechnyy,RU,50.72,136.64,52.98,60,0.58,6.67,2019-10-21 03:42:39
251,Te Anau,NZ,-45.41,167.72,40.44,86,0.86,9.35,2019-10-21 03:42:39
252,Paoua,CF,7.24,16.43,67.91,96,1.0,2.82,2019-10-21 03:42:40
253,Pemba,MZ,-12.97,40.52,78.29,79,0.49,7.81,2019-10-21 03:42:40
254,Chunhuhub,MX,19.59,-88.59,77.09,91,0.47,4.23,2019-10-21 03:42:40
255,Karratha,AU,-20.74,116.85,99.51,18,0.59,14.34,2019-10-21 03:42:40
256,Yokadouma,CM,3.52,15.05,66.38,99,0.59,1.88,2019-10-21 03:42:41
257,Payson,US,40.04,-111.73,41.0,51,0.9,2.73,2019-10-21 03:42:41
258,Hovd,NO,63.83,10.7,43.0,93,0.75,6.93,2019-10-21 03:42:41
259,Yerbogachen,RU,61.28,108.01,23.84,64,1.0,4.16,2019-10-21 03:42:42
260,Srandakan,ID,-7.94,110.25,76.98,88,0.05,21.14,2019-10-21 03:42:42
261,Brae,GB,60.4,-1.35,46.4,75,1.0,8.05,2019-10-21 03:42:42
262,Strezhevoy,RU,60.73,77.6,21.2,79,0.0,13.42,2019-10-21 03:42:42
263,Port Shepstone,ZA,-30.74,30.45,60.78,65,0.63,8.41,2019-10-21 03:42:43
264,Kosh-Agach,RU,49.99,88.66,18.05,65,1.0,12.97,2019-10-21 03:42:43
265,Pyapon,MM,16.29,95.68,86.3,71,0.0,5.12,2019-10-21 03:42:43
266,Hervey Bay,AU,-25.3,152.85,81.0,44,0.22,23.04,2019-10-21 03:42:44
267,Aykhal,RU,65.95,111.51,6.8,92,0.0,2.24,2019-10-21 03:42:44
268,Lorengau,PG,-2.02,147.27,82.52,81,0.94,10.65,2019-10-21 03:42:45
269,Taoudenni,ML,22.68,-3.98,82.4,24,0.0,7.96,2019-10-21 03:42:45
270,Bushehr,IR,28.97,50.84,78.8,73,0.0,1.23,2019-10-21 03:42:45
271,Udachnyy,RU,66.42,112.4,6.8,92,0.0,2.24,2019-10-21 03:42:45
272,Severo-Kurilsk,RU,50.68,156.12,42.17,71,0.0,12.3,2019-10-21 03:42:46
273,Jambi,ID,-1.6,103.62,86.55,62,0.91,4.85,2019-10-21 03:42:46
274,San Quintin,PH,17.54,120.52,86.28,61,0.5,3.33,2019-10-21 03:42:46
