,City,Country,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Datetime Recorded UTC
275,Airai,TL,-8.93,125.41,90.23,42,0.11,4.09,2019-10-21 03:42:47
276,Saint-Hubert,BE,50.03,5.37,57.99,93,0.75,6.93,2019-10-21 03:42:47
277,Kurchum,KZ,48.57,83.65,26.92,62,0.0,13.13,2019-10-21 03:42:47
278,Bombay,US,44.94,-74.57,42.01,100,0.4,4.52,2019-10-21 03:42:48
279,Ust-Koksa,RU,50.27,85.62,7.07,90,1.0,7.07,2019-10-21 03:42:48
280,Geraldton,CA,49.72,-86.95,33.8,100,0.05,2.06,2019-10-21 03:42:48
281,Aklavik,CA,68.22,-135.01,15.8,72,0.2,11.41,2019-10-21 03:42:49
282,Kalmunai,LK,7.42,81.82,74.73,95,1.0,3.02,2019-10-21 03:42:49
283,Mnogovershinnyy,RU,53.94,139.92,43.62,83,0.67,6.33,2019-10-21 03:42:49
284,Haicheng,CN,40.85,122.74,62.96,22,0.0,7.36,2019-10-21 03:42:50
285,Moerai,PF,-22.43,-151.33,72.37,84,1.0,20.45,2019-10-21 03:42:50
286,Riachao,BR,-7.36,-46.62,77.45,77,0.81,2.19,2019-10-21 03:42:50
287,Behbahan,IR,30.59,50.24,64.4,42,0.4,0.92,2019-10-21 03:42:51
288,Tofield,CA,53.37,-112.67,36.0,74,0.75,6.93,2019-10-21 03:42:51
289,Menongue,AO,-14.66,17.68,63.37,27,0.0,3.6,2019-10-21 03:42:51
290,Bassila,BJ,9.0,1.66,70.41,98,1.0,2.89,2019-10-21 03:42:52
291,Murgab,TM,37.5,61.97,50.0,57,0.0,2.64,2019-10-21 03:42:52
292,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,48.2,39,0.0,6.71,2019-10-21 03:42:52
293,Beringovskiy,RU,63.05,179.32,19.45,76,1.0,6.73,2019-10-21 03:42:52
294,Chokurdakh,RU,70.62,147.9,2.8,95,0.85,4.25,2019-10-21 03:42:53
295,Acajutla,SV,13.59,-89.83,83.12,75,0.87,3.89,2019-10-21 03:42:53
296,Cayenne,GF,4.94,-52.33,73.4,100,0.2,2.24,2019-10-21 03:42:53
297,College,US,64.86,-147.8,36.0,69,0.75,2.95,2019-10-21 03:42:54
298,Olinda,AU,-37.84,145.39,68.0,62,0.4,11.41,2019-10-21 03:42:54
299,Aquiraz,BR,-3.9,-38.39,79.0,78,0.4,8.05,2019-10-21 03:42:54
300,Pascagoula,US,30.37,-88.56,73.4,88,0.2,4.23,2019-10-21 03:42:55
301,Virginia Beach,US,36.85,-75.98,61.0,87,0.9,25.28,2019-10-21 03:33:45
302,Acapulco,MX,16.86,-99.88,80.6,88,0.4,2.71,2019-10-21 03:42:55
303,Dubuque,US,42.5,-90.66,55.4,71,0.01,8.05,2019-10-21 03:42:55
304,Aitape,PG,-3.15,142.36,87.36,57,0.27,9.95,2019-10-21 03:42:56
305,Castro,CL,-42.48,-73.76,41.0,86,0.75,9.17,2019-10-21 03:42:56
306,Mahebourg,MU,-20.41,57.7,73.99,88,0.9,11.41,2019-10-21 03:42:57
307,Le Port,FR,42.87,1.37,52.0,73,0.8,126.01,2019-10-21 03:42:57
308,Mangaratiba,BR,-22.96,-44.04,63.12,85,0.99,2.66,2019-10-21 03:42:57
309,Padang,ID,-0.92,100.36,78.85,87,1.0,13.33,2019-10-21 03:42:57
310,Merauke,ID,-8.49,140.4,77.93,78,0.0,17.16,2019-10-21 03:42:58
311,Kupang,ID,-10.16,123.6,93.2,44,0.2,11.41,2019-10-21 03:42:58
312,Port-Cartier,CA,50.03,-66.88,26.6,92,0.05,2.24,2019-10-21 03:42:59
313,Micheweni,TZ,-4.97,39.83,79.03,80,0.0,9.13,2019-10-21 03:42:59
314,La Ronge,CA,55.1,-105.3,33.8,86,0.9,5.82,2019-10-21 03:42:59
315,Arona,IT,45.76,8.56,61.0,100,0.75,12.75,2019-10-21 03:42:59
316,Gazojak,TM,41.19,61.4,50.48,27,0.0,6.87,2019-10-21 03:43:00
317,Araouane,ML,18.9,-3.53,87.83,20,0.0,9.31,2019-10-21 03:43:00
318,Pushkino,RU,56.01,37.85,54.0,81,1.0,8.95,2019-10-21 03:43:00
319,Nanortalik,GL,60.14,-45.24,38.93,69,0.77,5.28,2019-10-21 03:43:01
320,Zyryanka,RU,65.73,150.89,15.49,90,0.96,9.69,2019-10-21 03:43:01
321,Flinders,AU,-34.58,150.85,78.01,40,0.0,12.75,2019-10-21 03:43:02
322,Umm Lajj,SA,25.02,37.27,86.63,61,0.0,10.78,2019-10-21 03:43:02
323,Caconda,AO,-13.73,15.06,64.83,76,0.0,6.26,2019-10-21 03:43:02
324,Belmonte,PT,40.36,-7.35,41.0,95,0.0,0.89,2019-10-21 03:43:03
325,Vitim,RU,59.44,112.57,24.94,91,1.0,4.34,2019-10-21 03:43:03
326,Bykovo,RU,49.76,45.39,45.3,86,0.72,4.03,2019-10-21 03:43:03
327,Samarai,PG,-10.62,150.67,78.08,88,0.93,6.62,2019-10-21 03:43:04
328,Botou,CN,38.08,116.55,70.05,27,0.0,6.82,2019-10-21 03:43:05
329,Itarema,BR,-2.92,-39.92,73.18,93,0.84,3.69,2019-10-21 03:43:05
330,Sioux Lookout,CA,50.1,-91.92,48.2,86,0.9,3.36,2019-10-21 03:43:05
331,Minab,IR,27.15,57.07,78.8,78,0.0,4.7,2019-10-21 03:43:06
332,Floro,NO,61.6,5.03,42.01,93,1.0,2.24,2019-10-21 03:43:06
333,Grindavik,IS,63.84,-22.43,44.6,100,0.9,19.46,2019-10-21 03:43:06
334,Tazovskiy,RU,67.47,78.7,25.71,92,1.0,11.86,2019-10-21 03:43:07
335,Nur,PL,52.67,22.32,54.12,82,0.76,3.76,2019-10-21 03:43:07
336,Nouadhibou,MR,20.93,-17.03,68.0,88,0.19,17.22,2019-10-21 03:43:08
337,Aden,YE,12.79,45.03,80.33,72,0.62,10.31,2019-10-21 03:43:08
338,Gao,ML,16.28,-0.04,88.7,37,0.88,7.78,2019-10-21 03:43:08
339,Salalah,OM,17.01,54.1,78.8,39,0.0,8.05,2019-10-21 03:43:08
340,Haian,CN,32.53,120.46,73.0,50,1.0,5.75,2019-10-21 03:43:09
341,Mar del Plata,AR,-46.43,-67.52,57.72,38,1.0,20.58,2019-10-21 03:43:09
342,Kabompo,ZM,-13.6,24.21,59.9,31,0.0,2.73,2019-10-21 03:43:09
343,General Cepeda,MX,25.38,-101.48,68.0,72,0.4,6.4,2019-10-21 03:43:10
344,Halifax,CA,44.65,-63.58,45.0,75,0.75,2.84,2019-10-21 03:43:10
345,Yelovo,RU,57.05,54.92,36.91,95,1.0,11.83,2019-10-21 03:43:10
346,Kargasok,RU,59.06,80.87,23.03,63,0.8,9.57,2019-10-21 03:43:11
347,Sept-Iles,CA,50.2,-66.38,26.6,92,0.05,2.24,2019-10-21 03:43:11
348,Elat,CM,2.91,11.16,65.21,99,0.69,0.89,2019-10-21 03:43:11
349,Sibu,MY,2.29,111.83,86.0,70,0.75,3.36,2019-10-21 03:43:12
350,Suhbaatar,MN,50.23,106.21,32.95,63,1.0,3.96,2019-10-21 03:43:12
351,Dunedin,NZ,-45.87,170.5,55.99,40,0.68,11.01,2019-10-21 03:43:12
352,Praia da Vitoria,PT,38.73,-27.07,62.6,72,0.4,6.87,2019-10-21 03:43:13
353,Pisco,PE,-13.71,-76.2,62.6,82,0.0,5.82,2019-10-21 03:43:13
354,Zamoly,HU,47.32,18.41,62.6,67,0.0,13.87,2019-10-21 03:43:13
355,Hay River,CA,60.82,-115.79,30.2,92,0.75,2.24,2019-10-21 03:43:13
356,Blagoveshchensk,RU,50.29,127.53,46.4,26,0.0,20.13,2019-10-21 03:43:14
357,Arlit,NE,18.74,7.39,91.34,22,1.0,5.95,2019-10-21 03:43:14
358,Tilichiki,RU,60.47,166.1,23.91,51,0.0,10.45,2019-10-21 03:43:14
359,Deputatskiy,RU,69.3,139.9,6.29,96,0.68,1.9,2019-10-21 03:43:15
360,Kefamenanu,ID,-9.45,124.48,95.01,23,0.0,7.54,2019-10-21 03:43:15
361,Havre-Saint-Pierre,CA,50.23,-63.6,33.8,86,0.2,3.36,2019-10-21 03:43:15
362,Haines Junction,CA,60.75,-137.51,21.9,85,0.0,2.21,2019-10-21 03:43:15
363,Klaksvik,FO,62.23,-6.59,46.4,81,1.0,20.8,2019-10-21 03:43:16
364,Kamaishi,JP,39.28,141.86,62.6,63,0.75,2.24,2019-10-21 03:43:16
365,Tasiilaq,GL,65.61,-37.64,28.4,74,0.0,3.36,2019-10-21 03:43:16
366,Rocha,UY,-34.48,-54.34,51.22,93,1.0,5.28,2019-10-21 03:43:17
367,Maceio,BR,-9.67,-35.74,71.6,94,0.0,5.82,2019-10-21 03:43:17
368,Tabas,IR,33.6,56.92,69.8,18,1.0,4.7,2019-10-21 03:43:17
369,Mayya,RU,61.74,130.28,24.8,100,0.9,2.24,2019-10-21 03:43:18
370,Aldan,RU,58.61,125.39,29.84,90,0.82,5.03,2019-10-21 03:43:18
371,Kampot,KH,10.62,104.18,87.8,66,0.2,9.17,2019-10-21 03:43:18
372,Guanica,PR,17.97,-66.91,79.0,94,0.01,4.12,2019-10-21 03:43:19
373,Maningrida,AU,-12.05,134.23,97.26,24,0.0,13.71,2019-10-21 03:43:19
374,Egvekinot,RU,66.32,-179.17,14.99,80,1.0,13.04,2019-10-21 03:43:19
375,Cap Malheureux,MU,-19.98,57.61,73.99,88,0.9,11.41,2019-10-21 03:43:20
376,Talnakh,RU,69.49,88.39,19.4,85,0.75,20.13,2019-10-21 03:43:20
377,Shakawe,BW,-18.36,21.84,71.88,16,0.0,1.59,2019-10-21 03:43:20
378,Snyder,US,32.72,-100.92,77.0,25,0.01,11.41,2019-10-21 03:43:21
379,Kuybyshevo,UA,44.63,33.86,59.77,84,0.0,10.74,2019-10-21 03:43:21
380,Buraydah,SA,26.33,43.97,68.0,40,0.0,6.93,2019-10-21 03:43:21
381,Parrsboro,CA,45.41,-64.33,48.0,93,0.9,1.77,2019-10-21 03:43:22
382,Caravelas,BR,-17.73,-39.27,74.93,82,1.0,11.77,2019-10-21 03:43:22
383,Dossor,KZ,47.52,52.98,43.93,55,0.07,9.46,2019-10-21 03:43:22
384,Batagay-Alyta,RU,67.8,130.41,11.46,75,0.26,2.53,2019-10-21 03:43:23
385,Craig,US,40.52,-107.55,33.8,64,0.9,8.05,2019-10-21 03:43:23
386,Port Hardy,CA,50.7,-127.42,48.2,93,0.9,6.93,2019-10-21 03:43:23
387,Osoyoos,CA,49.03,-119.47,44.6,75,0.75,18.34,2019-10-21 03:43:24
388,Ponazyrevo,RU,58.36,46.31,41.23,97,0.55,3.15,2019-10-21 03:43:24
389,Zilair,RU,52.23,57.44,25.95,60,0.38,3.85,2019-10-21 03:43:24
390,Tadine,NC,-21.55,167.88,74.73,78,0.0,13.82,2019-10-21 03:43:25
391,Mountain Home,US,43.13,-115.69,46.4,72,0.9,3.36,2019-10-21 03:43:25
392,San Vicente,EC,-0.59,-80.41,73.4,78,0.75,10.29,2019-10-21 03:43:25
393,Kruisfontein,ZA,-34.0,24.73,55.29,92,0.97,10.65,2019-10-21 03:43:26
394,Opuwo,NA,-18.06,13.84,71.15,50,0.35,2.57,2019-10-21 03:43:26
395,Fukue,JP,35.03,136.69,70.0,68,0.75,4.7,2019-10-21 03:43:26
396,Coulommiers,FR,48.81,3.08,53.01,93,0.9,14.99,2019-10-21 03:43:26
397,Lokosovo,RU,61.13,74.84,26.63,53,1.0,16.17,2019-10-21 03:43:27
398,Laguna,BZ,16.17,-88.94,80.6,94,0.0,3.15,2019-10-21 03:43:27
399,Porbandar,IN,21.64,69.61,78.8,74,0.2,11.41,2019-10-21 03:43:27
400,Maniitsoq,GL,65.42,-52.9,36.15,49,0.0,7.49,2019-10-21 03:43:28
401,Witu,KE,-2.39,40.44,73.34,92,0.13,5.28,2019-10-21 03:43:28
402,Warrington,GB,53.39,-2.59,50.0,87,0.2,5.82,2019-10-21 03:43:28
403,Urusha,RU,54.05,122.9,31.83,77,1.0,10.4,2019-10-21 03:43:28
404,Atambua,ID,-9.11,124.89,78.54,83,0.0,9.57,2019-10-21 03:43:29
405,Skvyra,UA,49.73,29.66,52.46,75,0.0,7.67,2019-10-21 03:43:29
406,Ranong,TH,9.96,98.62,80.6,88,0.75,1.12,2019-10-21 03:43:29
407,Kyren,RU,51.68,102.13,15.26,77,0.99,2.26,2019-10-21 03:43:30
408,Bang Krathum,TH,16.58,100.3,89.6,66,0.2,4.7,2019-10-21 03:43:30
409,Yuzha,RU,56.58,42.01,51.44,92,0.6,8.01,2019-10-21 03:43:30
410,Santa Maria,BR,-16.02,-48.01,80.6,54,0.0,4.7,2019-10-21 03:43:31
411,Borogontsy,RU,62.67,131.17,30.59,86,0.6,3.04,2019-10-21 03:43:31
412,Nabire,ID,-3.36,135.5,81.28,81,0.94,0.78,2019-10-21 03:43:31
413,Key West,US,47.93,-96.78,50.0,81,0.9,2.68,2019-10-21 03:43:32
414,Eureka,US,40.8,-124.16,55.0,81,0.4,2.37,2019-10-21 03:43:32
415,Rubik,AL,41.77,19.78,55.4,93,0.0,3.36,2019-10-21 03:43:32
416,Balabac,PH,7.99,117.06,86.12,71,1.0,10.4,2019-10-21 03:43:33
417,Dudinka,RU,69.41,86.18,19.4,85,0.75,20.13,2019-10-21 03:43:33
418,Assesse,BE,50.37,5.02,53.01,93,0.75,5.82,2019-10-21 03:43:33
419,Koutiala,ML,12.39,-5.46,80.06,60,0.17,6.93,2019-10-21 03:43:33
420,Half Moon Bay,US,37.46,-122.43,62.6,77,0.01,18.34,2019-10-21 03:43:34
421,Eyl,SO,7.98,49.82,76.1,79,0.99,6.8,2019-10-21 03:43:34
422,Atasu,KZ,48.68,71.64,21.99,65,0.0,12.08,2019-10-21 03:43:34
423,Valparaiso,US,41.47,-87.06,54.0,93,0.75,5.68,2019-10-21 03:43:35
424,Vao,EE,59.1,26.19,49.37,89,1.0,14.07,2019-10-21 03:43:35
425,Socuellamos,ES,39.29,-2.79,48.99,95,0.0,1.01,2019-10-21 03:43:35
426,Verkhnyaya Toyma,RU,62.24,45.0,37.65,94,1.0,3.51,2019-10-21 03:43:36
427,Sorong,ID,-0.86,131.25,81.32,85,1.0,5.44,2019-10-21 03:43:36
428,Abnub,EG,27.27,31.15,70.8,40,0.0,3.31,2019-10-21 03:43:36
429,Capim Grosso,BR,-11.38,-40.01,69.44,84,0.0,2.59,2019-10-21 03:43:37
430,Walvis Bay,NA,-22.95,14.51,60.01,93,0.9,12.75,2019-10-21 03:43:37
431,Nianzishan,CN,47.51,122.88,50.0,94,0.0,15.3,2019-10-21 03:43:37
432,Bridlington,GB,54.08,-0.19,52.0,93,0.77,13.87,2019-10-21 03:43:38
433,Whitianga,NZ,-36.83,175.7,60.65,61,0.0,13.62,2019-10-21 03:43:38
434,Honiara,SB,-9.43,159.96,87.8,62,0.4,8.05,2019-10-21 03:43:38
435,Mabaruma,GY,8.2,-59.78,72.95,98,0.41,1.54,2019-10-21 03:43:38
436,Garoua,CM,9.31,13.39,73.97,96,1.0,3.42,2019-10-21 03:43:39
437,Otane,NZ,-39.89,176.62,57.99,62,0.02,14.0,2019-10-21 03:43:39
438,Faya,SA,18.39,42.45,57.2,37,0.0,3.31,2019-10-21 03:43:39
439,Chapleau,CA,47.85,-83.4,42.24,96,0.04,1.95,2019-10-21 03:43:40
440,Sena Madureira,BR,-9.07,-68.66,72.17,93,0.49,1.1,2019-10-21 03:43:40
441,Tecoanapa,MX,16.99,-99.26,80.6,88,0.4,1.43,2019-10-21 03:43:40
442,Teacapan,MX,22.54,-105.74,82.22,78,1.0,10.85,2019-10-21 03:43:41
443,Iquitos,PE,-3.75,-73.25,75.2,94,0.4,3.36,2019-10-21 03:43:41
444,Robe,ET,7.12,40.01,48.81,98,0.93,1.81,2019-10-21 03:43:41
445,Hofn,IS,64.25,-15.21,35.27,99,1.0,10.92,2019-10-21 03:43:42
446,Zhangjiakou,CN,40.77,114.88,46.02,24,0.0,7.43,2019-10-21 03:43:42
447,Richards Bay,ZA,-28.77,32.06,71.11,77,0.71,19.91,2019-10-21 03:43:42
448,Fallon,US,46.84,-105.12,34.0,69,0.01,9.17,2019-10-21 03:43:42
449,Kamojima,JP,34.07,134.35,68.0,72,0.75,9.17,2019-10-21 03:43:43
450,Anloga,GH,5.79,0.9,77.0,94,0.2,2.24,2019-10-21 03:43:43
451,Port-Gentil,GA,-0.72,8.78,77.46,83,0.99,0.25,2019-10-21 03:43:44
452,Dodoma,TZ,-6.18,35.75,68.32,74,0.12,4.38,2019-10-21 03:43:44
453,Mbanza-Ngungu,CD,-5.25,14.87,72.53,93,1.0,4.63,2019-10-21 03:43:44
454,Krasnyy Chikoy,RU,50.36,108.75,33.92,55,1.0,1.39,2019-10-21 03:43:45
455,San Jose de las Lajas,CU,22.96,-82.15,75.2,100,0.2,1.12,2019-10-21 03:43:45
456,Kavaratti,IN,10.57,72.64,82.47,78,1.0,11.12,2019-10-21 03:43:45
457,Lingdong,CN,28.06,114.24,77.48,33,0.0,6.55,2019-10-21 03:43:45
458,Skibbereen,IE,51.55,-9.27,39.2,93,0.2,14.99,2019-10-21 03:43:46
459,Aketi,CD,2.74,23.78,68.95,99,1.0,1.54,2019-10-21 03:43:46
460,Ambilobe,MG,-13.19,49.05,70.16,80,0.0,5.91,2019-10-21 03:43:47
461,Zhangye,CN,38.94,100.46,50.18,31,0.1,4.81,2019-10-21 03:43:47
462,Ossora,RU,59.24,163.07,29.53,75,0.0,3.04,2019-10-21 03:43:47
463,Victor Harbor,AU,-35.55,138.62,75.99,52,0.0,12.75,2019-10-21 03:43:48
464,Matara,BI,-3.48,29.48,51.85,88,1.0,1.16,2019-10-21 03:43:48
465,Saint-Augustin,CA,45.63,-73.98,43.0,93,0.2,2.39,2019-10-21 03:43:48
466,Coahuayana,MX,18.62,-100.35,72.96,90,1.0,1.79,2019-10-21 03:43:49
467,Kyaikto,MM,17.31,97.01,86.36,65,0.02,1.72,2019-10-21 03:43:49
468,Grand Gaube,MU,-20.01,57.66,73.99,88,0.9,11.41,2019-10-21 03:43:50
469,Belle Fourche,US,44.67,-103.85,37.99,81,0.75,11.41,2019-10-21 03:43:50
470,Heihe,RU,50.24,127.51,46.4,26,0.0,20.13,2019-10-21 03:43:50
471,Port Keats,AU,-14.25,129.55,92.17,45,0.27,11.41,2019-10-21 03:43:50
472,Bilma,NE,18.69,12.92,85.82,18,0.5,12.68,2019-10-21 03:43:51
473,Matay,EG,28.42,30.79,70.73,39,0.0,4.18,2019-10-21 03:43:51
474,Kuching,MY,1.56,110.34,87.8,70,0.75,4.7,2019-10-21 03:43:51
475,Broken Hill,AU,-31.97,141.45,75.2,19,0.0,10.29,2019-10-21 03:43:52
476,Nyuksenitsa,RU,60.41,44.24,38.67,97,1.0,3.65,2019-10-21 03:43:52
477,Faanui,PF,-16.48,-151.75,80.06,75,0.8,5.59,2019-10-21 03:43:52
478,Nioro,GM,13.79,-15.05,78.42,44,0.0,7.16,2019-10-21 03:43:53
479,Mgachi,RU,51.05,142.27,47.21,82,0.27,24.25,2019-10-21 03:43:53
480,Guiratinga,BR,-16.35,-53.76,78.74,65,0.7,1.48,2019-10-21 03:43:53
481,Banjar,ID,-7.37,108.54,85.8,54,0.69,5.77,2019-10-21 03:43:54
482,Sao Joao da Barra,BR,-21.64,-41.05,66.5,73,0.97,4.25,2019-10-21 03:43:54
483,Boa Vista,BR,2.82,-60.67,80.6,74,0.0,2.24,2019-10-21 03:43:54
484,High Level,CA,58.52,-117.13,33.8,92,0.9,2.24,2019-10-21 03:43:55
485,Windhoek,NA,-22.57,17.08,73.4,16,0.0,12.75,2019-10-21 03:43:55
486,Torbay,CA,47.66,-52.73,43.0,86,0.75,13.87,2019-10-21 03:43:55
487,Katangli,RU,51.71,143.23,51.44,65,0.99,8.93,2019-10-21 03:43:56
488,Itaituba,BR,-4.26,-55.99,74.03,95,1.0,1.83,2019-10-21 03:43:56
489,Semnan,IR,35.58,53.39,47.78,60,0.7,3.91,2019-10-21 03:43:57
490,Shimanovsk,RU,52.0,127.67,37.59,72,1.0,13.38,2019-10-21 03:43:57
491,Ushtobe,KZ,45.25,77.98,33.26,51,1.0,19.22,2019-10-21 03:43:57
492,Bandarbeyla,SO,9.49,50.81,74.15,76,0.14,6.85,2019-10-21 03:43:57
493,Meulaboh,ID,4.14,96.13,79.16,85,0.98,6.4,2019-10-21 03:43:58
494,Coquimbo,CL,-29.95,-71.34,53.6,76,0.0,2.24,2019-10-21 03:43:58
495,Slatina,HR,45.7,17.7,50.0,94,0.0,1.01,2019-10-21 03:43:58
496,Humaita,AR,-24.93,-65.37,57.2,87,0.0,5.66,2019-10-21 03:43:59
497,Bang Saphan,TH,11.21,99.51,77.0,100,0.75,4.7,2019-10-21 03:43:59
498,Zhoukou,CN,33.63,114.64,76.01,42,0.86,6.2,2019-10-21 03:43:59
499,Aripuana,BR,-9.17,-60.63,73.79,93,1.0,2.37,2019-10-21 03:43:59
500,Kushiro,JP,43.11,144.15,55.4,71,0.2,11.41,2019-10-21 03:44:00
501,Fort Nelson,CA,58.81,-122.69,35.6,93,0.9,2.24,2019-10-21 03:44:00
502,Tignere,CM,7.37,12.65,65.4,98,1.0,0.83,2019-10-21 03:44:00
503,Cristesti,RO,46.5,24.48,43.0,93,0.2,1.88,2019-10-21 03:44:01
504,Togur,RU,58.36,82.83,21.81,65,0.29,8.3,2019-10-21 03:44:01
505,Oriximina,BR,-1.77,-55.87,78.72,82,0.84,2.95,2019-10-21 03:44:01
506,Okhotsk,RU,59.36,143.24,33.26,56,0.96,7.76,2019-10-21 03:44:02
507,Palu,ID,-0.9,119.87,84.97,66,1.0,6.31,2019-10-21 03:44:02
508,Sao Jose da Coroa Grande,BR,-8.9,-35.15,71.38,87,0.48,4.38,2019-10-21 03:44:02
509,Bom Jesus do Itabapoana,BR,-21.13,-41.68,65.66,87,0.98,2.55,2019-10-21 03:44:03
510,Sartell,US,45.62,-94.21,57.2,47,0.01,6.93,2019-10-21 03:44:03
511,Paso de los Toros,UY,-32.81,-56.52,54.55,96,1.0,5.99,2019-10-21 03:44:03
512,Plettenberg Bay,ZA,-34.05,23.37,56.82,86,1.0,13.62,2019-10-21 03:44:03
513,Qaqortoq,GL,60.72,-46.03,33.8,86,0.0,12.75,2019-10-21 03:44:04
514,Haileybury,CA,47.44,-79.64,46.4,93,0.2,5.82,2019-10-21 03:44:04
515,Yenagoa,NG,4.92,6.26,73.92,95,0.88,2.15,2019-10-21 03:44:04
516,Bendigo,AU,-36.76,144.28,69.06,50,0.0,6.87,2019-10-21 03:44:05
517,Amberley,NZ,-43.15,172.73,53.6,66,0.97,13.87,2019-10-21 03:44:05
518,Waipawa,NZ,-39.94,176.59,57.99,62,0.02,14.0,2019-10-21 03:44:05
519,Chalinze,TZ,-6.64,38.35,69.35,95,0.46,0.27,2019-10-21 03:44:05
520,Vila,IT,45.18,8.4,61.0,100,0.75,12.75,2019-10-21 03:44:06
521,Asyut,EG,27.18,31.19,70.8,40,0.0,3.31,2019-10-21 03:44:06
522,Oyama,JP,36.31,139.8,75.99,59,0.9,12.75,2019-10-21 03:44:06
523,Wuchang,CN,44.93,127.16,53.13,25,0.0,10.0,2019-10-21 03:44:07
524,Darhan,MN,49.49,105.92,32.12,74,1.0,6.22,2019-10-21 03:44:07
525,Pangody,RU,65.85,74.49,26.07,89,0.94,10.8,2019-10-21 03:44:07
526,Liverpool,GB,53.41,-2.98,50.0,87,0.2,5.82,2019-10-21 03:44:08
527,Ancud,CL,-41.87,-73.83,41.0,86,0.75,9.17,2019-10-21 03:44:08
528,Diu,IN,20.71,70.98,77.93,74,1.0,12.15,2019-10-21 03:44:08
529,Margate,AU,-43.03,147.26,73.0,32,0.0,10.29,2019-10-21 03:44:08
530,Bulgan,MN,48.81,103.53,31.2,91,1.0,3.53,2019-10-21 03:44:09
531,Morehead,US,38.18,-83.43,60.8,100,0.01,3.36,2019-10-21 03:44:09
532,Pontes e Lacerda,BR,-15.23,-59.33,75.11,76,1.0,1.21,2019-10-21 03:44:09
533,Jiujiang,CN,29.73,115.99,77.88,31,0.12,6.4,2019-10-21 03:44:10
534,Klembivka,UA,48.38,28.4,46.99,94,0.0,6.49,2019-10-21 03:44:10
535,Plouzane,FR,48.38,-4.62,48.99,93,0.21,5.82,2019-10-21 03:44:10
536,Mazagao,BR,-0.12,-51.29,82.4,88,0.0,9.17,2019-10-21 03:44:10
537,Tezu,IN,27.93,96.16,69.81,62,1.0,0.6,2019-10-21 03:44:11
538,Prince Rupert,CA,54.32,-130.32,46.4,100,0.9,3.36,2019-10-21 03:44:11
539,Antropovo,RU,55.25,37.65,54.0,76,0.0,6.71,2019-10-21 03:44:11
540,Japura,ID,-0.42,102.29,84.86,68,0.78,5.26,2019-10-21 03:44:12
541,Shellbrook,CA,53.22,-106.39,26.6,86,0.75,3.04,2019-10-21 03:44:12
542,Bonthe,SL,7.53,-12.5,77.09,85,0.94,1.9,2019-10-21 03:44:12
543,Ayaviri,PE,-14.88,-70.59,41.7,34,0.98,6.4,2019-10-21 03:44:13
544,Vostok,RU,46.45,135.83,50.27,69,0.85,9.78,2019-10-21 03:44:13
545,Bonavista,CA,48.65,-53.11,42.01,86,0.67,10.0,2019-10-21 03:44:13
546,Merrill,US,42.03,-121.6,46.0,81,0.01,3.36,2019-10-21 03:44:13
547,Kifri,IQ,34.69,44.96,71.4,44,0.09,6.49,2019-10-21 03:44:14
548,Kirakira,SB,-10.46,161.92,82.7,78,0.83,7.63,2019-10-21 03:44:14
549,Biak,ID,-0.91,122.88,76.51,57,0.09,7.54,2019-10-21 03:44:14
550,Luis Correia,BR,-2.88,-41.67,74.73,92,0.39,4.23,2019-10-21 03:44:15
551,Carutapera,BR,-1.2,-46.02,78.11,85,1.0,5.35,2019-10-21 03:44:15
